concepticon	concepticon_ID	concepticon_proposed	NEL_concept	NEL_ID	lgc	lgcSD	inf	ranking_value	position_in_ranking	WOLD	ABVD	ASJP40	ASJP100	Holman ranking value	Holman	Rama & Borin score	Rama & Borin rank	Swadesh100	Swadesh200	IELex	Dyen 1975 P	Dyen 1975 rank	Pagel mean rate	Petroni & Serva	Peust ranking	Tadmor score	Tadmor rank	Tadmor representation score	WOLD borrowed score	WOLD age score	WOLD simplicity score	representation	Tadmor score (replica)
MOUNTAIN	639	MOUNTAIN	Berg::N	96	0.409052837537445	0.095618179307805	10.6530722166423	0.697159667880527	55	1-22		3	86	26.2	35	250.578	23	55	98	103	3.32	143	2.75	0.17545	11				0.1739130435	0.8927536232	0.9710144928	73	0.7161155402
DOOR	1567	DOOR	Tür::N	318	0.40003818289024	0.093108325762907	10.5744452010145	0.697410155500237	56	7-22																			0.226744186	0.8686046512	0.8975290698	59	0.6028286277
LAKE	624	LAKE	See::N	89	0.445286589052506	0.097517165185308	10.9879109103856	0.698033160891303	57	1-33	126								84	88	4.2	123	3.5						0.2147239264	0.8445807771	0.9233128834	47	0.612367951
HEAR	1408	HEAR	hören::V	803	0.394119905643344	0.108130273259288	10.5275596988477	0.69804805480576	58	15-41	44	14	58	33.8	10	421.242	76	39	69	72	37.1	15	2.35		7	0.723	61	1	0.046993431	0.8150581102	0.8946437595	46	0.6949196692
SNOW	784	SNOW	Schnee::N	77	0.394855803274255	0.112201461891496	10.5661271245559	0.701242489508756	59	1-76									145	151			1.62	0.17697	11				0.237244898	0.8897959184	0.9336734694	36	0.6336808005
HAND	1277	HAND	Hand::N	28	0.341206926867759	0.1073151830654	10.087038148732	0.701617580692213	60	4-33	1	10	48	34.9	9	236.955	22	37	66	69	19.6	39	0.82	0.22261	4	0.768	19	1	0.1507352941	0.8740196078	0.9926470588	45	0.7368161081
TREE	906	TREE	Baum::N	112	0.374362589183608	0.111283348203426	10.3900944543956	0.70208311517431	61	8-6		24	23	33.6	11	153.598	3	90	174	180	33.1	23	3.58		10				0.2521367521	0.7897435897	0.9515669516	59	0.562014669
THIS	1214	THIS	dies::PRN	637	0.18851041708955	0.100896715194656	8.72650791989769	0.702991416609174	62	24-07	177		4	18.2	73	211.777	12	86	167	173	3.14	147	2.18		8	0.745	38	0.976	0	0.8439516129	0.8971774194	44	0.7571743301
EAT	1336	EAT	essen::V	737	0.347595877796299	0.112357593010149	10.1591409145784	0.703077801441168	63	5-11	37		55	20	66	223.821	17	23	38	38	60.1	8	1.77		5	0.714	75	1	0.0801886792	0.8981132075	0.9245283019	58	0.7637479261
YEAR	1226	YEAR	Jahr::N	457	0.304483954003048	0.115822532916361	9.78105766385603	0.70407020778286	64	14-73	169								199	204	6.74	92	2.78	0.17892	6				0.1861702128	0.889787234	0.9712765957	46	0.7033357228
PRICE	657	PRICE	Preis::N	425	0.388750218666683	0.096247695743325	10.541538550077	0.704278658207685	65	11-87																			0.4313304721	0.7991416309	0.8809012876	42	0.4003233826
BONE	1394	BONE	Knochen::N	44	0.402010562613276	0.097047583979783	10.6790938959243	0.706099883240486	66	4-16	15	5	31	30.1	19	291.445	38	10	18	17	15.04	47	1.34	0.17056	8	0.805	7	1	0.0823529412	0.88	0.9705882353	44	0.7837785467
DRY	1398	DRY	trocken::A	509	0.50178439394465	0.074987518357671	11.5786611642781	0.706260161877622	67	15-84	140		99	18.9	69	499.142	88	20	33	33	4.19	125	1.83	0.207	7				0.0842696629	0.8449438202	0.8370786517	46	0.647681813
WHITE	1335	WHITE	weiß::A	525	0.4426115374481	0.083980396469004	11.0537485632292	0.70702447261963	68	15-64	148		90	22.7	50	461.035	81	97	187	193	8.15	82	2.22		9				0.1586538462	0.8534615385	0.9192307692	46	0.660059705
SOIL		EARTH_(SOIL)	Erde::N	66	0.387678378066192	0.106330200289476	10.5726016057268	0.70834962031311	69	1-212	119		79	21.7	54	351.177	56	22	37	37	7.2	89	3.52	0.15965	10	0.722	63	0.951	0.099934612	0.8809938971	0.954228422	44	0.7566574443
NEST	539	NEST	Nest::N	130	0.480091648266405	0.085169604825317	11.4164504185574	0.709562558415975	70	3-58															9				0.125	0.8785714286	0.8988095238	43	0.6909598214
END (OF SPACE)	742	END_(OF_SPACE)	Ende::N	276	0.343578041644035	0.108490920696686	10.1906581630252	0.709845578822888	71	12-35																			0.0969761759	0.8370800244	0.8930971289	42	0.6750949819
DEATH	910	DEATH	Tod::N	412	0.526262335378169	0.079017392525505	11.8364519994198	0.710009098101631	72																								
SMOKE (EXHAUST)	778	SMOKE_(EXHAUST)	Rauch::N	68	0.382801383920578	0.09992005221329	10.5480519042561	0.710283944897094	73	1-83	145		81	18.5	71	318.681	48	78	142	148	11.08	65	1.7	0.21213	9	0.734	49	1	0.0840517241	0.836637931	0.9288793103	44	0.7118160719
FIVE	493	FIVE	fünf::NUM	657	0.384114505528326	0.087754641967916	10.5820128502431	0.712498230048819	74	13-05	201								51	52	80.5	1	0.09	0.22353	2				0.2282608696	0.8630434783	0.9510869565	46	0.6334661636
CHEST	1592	CHEST	Brust::N	24	0.489832577420404	0.093955493710535	11.5345242706411	0.712603107385743	75	4-4																			0.1720430108	0.8204301075	0.9139784946	49	0.6208480811
MILK	635	MILK	Milch::N	361	0.452367591772887	0.093516130939897	11.1997251778607	0.712841685190476	76	5-86															9				0.3117977528	0.8464419476	0.8876404494	48	0.5170711998
LAY (VERB)	2071	LAY_(VERB)	legen::V	824	0.375623060956339	0.103145307101209	10.5208926193802	0.71402850707731	77																								
HOLD	1448	HOLD	halten::V	849	0.419914859403345	0.099737113466033	10.9331326175407	0.715389888291058	78	11-15	89								74	77	1.15	193	4.48						0.1002227171	0.85077951	0.8788975501	47	0.672806688
HORN (ANATOMY)	1393	HORN_(ANATOMY)	Horn::N	122	0.431998687750198	0.101332605299047	11.0419506586748	0.715396246892299	79	4-17		18	34	28.8	27	184.285	10	41		78					4	0.745	38	1	0.1597826087	0.8765217391	0.9869565217	42	0.7268626942
GRASS	606	GRASS	Gras::N	110	0.452450939924921	0.1023849609933	11.2291836520106	0.715712519268632	80	8-51	118								62	65	2.25	171	2.73	0.26231	9				0.1737193764	0.8601336303	0.9732739421	45	0.691717229
YOU	1213	YOU	ihr::PRN	644	0.289024437024571	0.103902668327269	9.76559693042456	0.716437699720342	81	2-95	186								198	206	35.1	18	1.32	0.45395	5				0.0380952381	0.7895238095	0.8095238095	53	0.6147901954
GROW	479	GROW	wachsen::V	716	0.461094360212318	0.099106687129137	11.3149389670373	0.716508972512644	82	12-53	86																		0.0390070922	0.8329787234	0.8510638298	51	0.6812652302
CARRY	700	CARRY	tragen::V	873	0.455209516229	0.113139031068056	11.2995710549319	0.720268540887093	83	10-61										219					12	0.717	70	0.976	0.0808918496	0.8735232139	0.9533682279	53	0.7654234134
BE ALIVE	1422	BE_ALIVE	leben::V	733	0.414437761428678	0.094794239025764	10.9444110448017	0.721447119194363	84	4-74	76								90	94	9.14	76	1.1	0.18716	8				0.1314168378	0.8437371663	0.818275154	48	0.5996777712
LONG	1203	LONG	lang::A	483	0.425103985258406	0.095521178254439	11.0461793859411	0.722024351861541	85	12-57	155		14	17.4	77	500.151	89	49	92	96	4.36	118	1.22	0.22491	8	0.707	78	1	0.0439783491	0.8876860622	0.898060442	49	0.762136385
FATHER	1217	FATHER	Vater::N	202	0.297603194743739	0.09529813835054	9.90138319266033	0.722295443996667	86	2-35	60								44	44	63	6	2.3	0.21319	7				0.2516017743	0.855101035	0.9637752587	53	0.6167738534
HEART	1223	HEART	Herz::N	46	0.443152573699037	0.088482164330698	11.2120633984482	0.722369023515691	87	4-44			52	23.2	48	320.086	49	40	70	73	7.55	85	1.69	0.17023	6				0.2233009709	0.8323624595	0.9587378641	55	0.6198193449
